id,type,text1,text2,text3,text4,text5,notes
com_Morozov_desc,CUSTOM,"Morozov stands as the frigid heart of the Red Horizon Pact—a world whose relentless cold mirrors the unyielding discipline of its leadership. Towering foundries, armored factory-cities, and continent-spanning labour complexes dominate its surface, forging the material strength of the proletariat without pause.
Through sacrifice and iron will, Morozov has achieved the dubious honor of being the most polluted world in the Persean Sector, its poisoned skies and scarred continents heralded by party propaganda as proof of the people’s uncompromising commitment to socialist victory. Every furnace belch and every armored conveyer line is celebrated as another step toward the universal liberation of all workers.",,,,,
com_Dniprovia_desc,CUSTOM,"Dniprovia was the first planet “liberated” by the Red Horizon Pact, seized in the opening blaze of the Morozovian revolution and refashioned into a model of socialist extraction. Rich in minerals, hydrocarbons, and arable lowlands, the world’s abundant resources are now directed entirely toward fulfilling the Pact’s ambitious Five-Cycle Plans.
Under the strict supervision of Party commissars, Dniprovia’s industries operate without pause, its landscapes reshaped to feed the furnaces and assembly lines of the wider proletarian struggle. The population—kept in a state of engineered scarcity—remains compliant through a mix of ideological discipline and rationing policies designed to break residual bourgeois resistance.
On Dniprovia, every ingot smelted and every mine stripped bare is heralded as a heroic sacrifice for the inevitable triumph of socialism.
",,,,,
com_station_desc,CUSTOM,"The PLSZS was originally constructed by the decadent Tri-Tachyon corporation to strip-mine the Gigantic Zinoviev asteroid belt for private profit. Following its decisive liberation, the station was transformed into the principal dockyard of the Red Horizon Pact, repurposed for the needs of the collective. Today, it continues its vital function as an ore-extraction hub—now operated by disciplined workers’ brigades—and serves as a cornerstone of the Persean People’s Navy, whose steadfast crews embrace their secondary duty as miners in service of the Five-Cycle Industrial Plan.",,,,,
com_binhdo_desc,CUSTOM,"Binhdo is a world of sweltering jungles, crushing humidity, and storm-thrashed oceans—a harsh environment that the Red Horizon Pact proudly declares the perfect forge for its toughest soldiers. For generations, its people have been subjected to exhaustive conscription quotas, supplying wave after wave of infantry to the Pact’s endless campaigns.
Binhdo’s soils have been stripped bare by relentless overfarming conducted in accordance with Party agricultural directives. The land is exhausted, and the population—drained by military levies and subsistence rations—has been left equally depleted.
Yet in official doctrine, this devastation is celebrated as proof of Binhdo’s unwavering devotion: a world whose jungles, fields, and children alike have been offered up to strengthen the Red Horizon’s march toward universal worker’s liberation.
",,,,,
com_marx,SHIP,"The marx class dreadnaughts serve as both powerful point defence battleships and supply production factories. Massive aquaponic farms and two biodomes produce continuous food production for sustained operations. Onboard refineries and industrial lines manufacture spare parts and munitions, allowing the Marx-class to support entire task forces without reliance on rear-area logistics.
In an act of shocking ideological tolerance a fleet of marx class was commissioned by the red horizon pact from mythic manufacturing ,As part of a plan for pan galactic liberation once the Persian sector was secured. Upon delivery of the lead ship, the design was promptly reverse-engineered in the name of the workers, and the remaining contracts were cancelled.
Mythic manufacturing used the marx class initiative as a chance to experiment with dreadnaught design and production. The class suffers from heavy crew requirements, overstressed reactors, poor deck layouts,and engines designed to be slow enough that the mining drones can bring in raw materials for processing. The class only remains in production and service due to their replacement ,the Babeuf class, is stuck in development hell. ",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,"No major station systems remain operational, though there are a few stray gamma sources and some EM leakage, likely from backup safety systems working hopeless labor.",,,
,,,,"The face of Gilead smiles at you from clouds of purest silk, cerulean seas, and verdant continents of gentle, rolling wilderness. The Church here reigns like a stern gardener, ensuring that population is well controlled and dutiful in honoring the ground upon which Ludd once walked.",,,
,,,,"Apocalyptic dust storms cloud the cruel sky, turning the sun first blood-red before rendering it a directionless glow which offers neither warmth nor comfort. 

The need for absolution spills from the mines, is forged in refineries, and then is assembled in orbit. Asher's virtue of industry is yet the Church's secret shame, spoken of only circuitously in sermons given by particularly spiritual curates. ",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,The economy of Ancyra is dominated by Hegemony logistics. The light industry complex grew up on military contracts and now possesses the scale and legitimacy to make respectable inroads into the civilian commerce web of core Hegemony space.,,,
,,,,"Recruitment holos greet incoming spacers - ""Join the Navy, see the Sector!"". A matte patch of wall-plating suggests that a cheeky addition to the slogan has already been removed by a maintenance drone.",,,
,,,,"Never a station which overwhelmed visitors with welcome, Derinkuyu now sports a fresh patchwork of emergency hull-seal plates and greets outsiders with suspicious looks traded between miners and lightly-armed MuniSec militia.",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,"- K. Astraia, recovered from Kallichore Archive",,,,
,,,"- Tri-Tachyon Morale Assurance intercept, appended to employee termination report",,,,
,,,"-  Luddic funereal prayer, traditional",,,,
,,,"- Sarosh Freeman, senior technician",,,,
,,,"- Unknown researcher, recovered logs from Alpha Site",,,,
,,,"- Salvor verbal report, hyperspace recovery of ISS Augusta",,,,
,,,- Unsigned report sent from Alpha Site to K. Astraia,,,,
,,,- Memo recovered from Alpha Site lab complex,,,,
,,,"- AAR, first encounter at Isir, [REDACTED] expedition",,,,
,,,"- The Book of Ludd, Visions 7:4",,,,
,,,- Tri-Tachyon employee 38940855,,,,
,,,- Memo recovered from Alpha Site lab complex,,,,
,,,"- The Book of Ludd, Visions 7:12",,,,
,,,- classified report to the High Hegemon,,,,
,,,- classified report to the High Hegemon,,,,
,,,,,,,
,,,Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
,,,Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
,,,Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
,,,Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
,,,Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
,,,Unidentified Entity,,,,
,,,Unidentified Entity,,,,
,,,Unidentified Entity,,,,
,,,Unidentified Entity,,,,
,,,Unidentified Entity,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,, it is dedicated to the struggle and death of the many martyrs that follow in Ludd's path.,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,"The AI administrator control bunker was secured from the threat contained within as well as the multitude of threat vectors without.

Above all the entire operation was kept absolutely secret; a handsomely compensated human actor was hired to perform as the 'face' for the AI core's decision-making.",,,,
,,,"A rust-bucket Hound came in last shift. Cargo of low-grade ore. I crewed with a Hound 20 cycles ago, I know the logs don't add up - their last run wouldn't have even paid for the fuel. And I know where the shielded holds are. Broke my heart how young the cap was though, a poor kid out of Mozzy. Just like I was. If I bust 'em, I kill their one chance to get out. So I didn't.

Delete log entry.",unlocked,,,
,,,"""All the big contracts go to the toadies kneeling at the feet of the high-and-mighty. Call them approved vendors, Gens-clients, logistical auxilliaries, Faithful traders. It's all the same.""

""It's about us outsiders being kept out, pushed into smuggling and black markets, squeezed by patrols on one side, pirates on the other.""",,"- patron, anonymous, overheard at 'The Fusion Torch'",,
,,,"""Is there no place left unmarked by the leavings of Moloch, fouled by skin of plastic, and bones of alloy, and scales of ceramic?""

""Is there no place left which may be made sacred and given unto the glory of the Creator alone?""",,,,
,,,"Purposeful habitation of barren worlds has been long considered one of the signs of true civilization alongside interstellar travel and fusion of the atom. A being confined to its gravity well might as well be an infant in the cradle, a mere animal without awareness or control over its destiny.",unlocked,"- Academician Florian Proxima, Domain History department, Galatia Academy",,
,,,"The flaw went back to the forging. An error, a misalignment in the pseudocrystal, a mistake that spiralled outward - just enough. A standard quality control scan would have seen it, but it'd be tagged low-risk. It was a hundred cycles of hard use, sharp maneuvers, the hasty repairs, the delayed inspections, the lost records that made the compartment a death-trap.",unlocked,,,
,,,"There are places where a balance is found between the dance of celestial bodies, some mingling of qualities ineffable to all but those absolutely devoted to esoteric physics.

It is there we pierce the veil into the great and stormy sea beyond the stars.",,,,
,,,"Now our contracts up, holds full and ready /
Hoo-rah for we jump now t'ward the core /
We'll burn bright, bright long and steady",,,,
,,,"Go in there not knowing exactly where you're coming out?

That's how you end up a bit of glitter indistinguishable from cosmic background radiation.",,,,
,,,"""He risked the entire Galatia system, hundreds of thousands of citizens. That might be just one subsector of a metroplex down there,"" he waved vaguely in the direction of Chicomoztoc. ""But,"" his voice hardened, ""I will not allow any 'grand experiments' that endanger these people.""",unlocked,,,
,,,"An ancient sporeship encountered Cibola in a cooler and wetter age than its equilibrium, placing it within the ship's colonization parameters. Later Domain explorers found a dying world populated by a small, backward, and desperate civilization clinging to survival.",,,,
,,,"""You think the inertial dampers will protect you during a combat maneuver? If it isn't stowed, it's a missile primed to core you and the next three crew coming up the access shaft. I want this shameful display cleaned up before the end of the shift.""",unlocked,,,
,,,This communication platform used long lost Domain-era technology yet remained essential to civilized life in the Persean Sector. The rapidly pulsing hyperwaves suitable for FTL data transmission have been shown to damage DNA so these relays were always stationed well away from habitats.,,,,
,,,"The colonization program dictated construction around key gravity wells of orbital infrastructure which included repair docks, industrial nanoforges, comms hubs, terraforming depots, armories, research laboratories, and habitation for defrosted cryosleepers.

Much remains. More still is as broken and dead as the Human Domain's avaricious dreams.",unlocked,,,
,,,"""There's ghosties in the old orbitals- don't you laugh, dirt-boot. It's true. I've seen 'em... or less seen 'em than felt 'em. They got signs. Static on the comms when you're in deep. Valves that come loose when you're not a-lookin'. Tools that hain't where you secured 'em. Great tombs they are, and properly ought be left sleepin' cold.""",,"- Encela 'Boomer' Blackborn, spacer",,
,,,"Most abandoned stations were plundered long ago. What remains are the stripped foundations of a fallen empire; twisted spars, cracked agrav plates, shattered machines, and seams thermal-cycled to ruin.

A few smugglers and black-market traders use the long, quiet orbit of these stations for drop-points. A dozen corpses and cored shuttle are the not uncommon tell of a deal gone bad.",,,,
,,,"Orbiting megacity, naval yard, and port; the axis of Corvus, swarmed by Starship traffic. Ancient repair gantries skulked between corroded industrial hangars in the shadow of laboratory rings and support modules. Higher still, commercial bays and metroplex districts were shepherded by the C&C spire bristling with weapons pods.",,,,
,,,"Heavy industrial manufacturing relied on great nanoforges recovered from the ruins of the Domain. However their output quality decayed over cycles; nanoscale corruption led to growing macroscopic flaws. Much of the output had to be repaired by cruder methods, and much was scrapped and fed back as the refined feedstock for which the aging forges ever hungered.",,,,
